联通线路1,#genre#
中国教育-1,http://192.168.172.252:4022/udp/239.253.246.55:8000
卡通动漫,http://192.168.172.252:4022/udp/239.253.246.61:8000
金鹰卡通,http://192.168.172.252:4022/udp/239.253.246.62:8000
炫动卡通,http://192.168.172.252:4022/udp/239.253.246.63:8000
优漫卡通,http://192.168.172.252:4022/udp/239.253.246.64:8000
嘉佳卡通,http://192.168.172.252:4022/udp/239.253.246.65:8000
动漫秀场,http://192.168.172.252:4022/udp/239.253.246.66:8000
熊猫频道,http://192.168.172.252:4022/udp/239.253.246.237:8000
农林卫视,http://192.168.172.252:4022/udp/239.253.246.70:8000
游戏风云,http://192.168.172.252:4022/udp/239.253.246.71:8000
东方财经,http://192.168.172.252:4022/udp/239.253.246.72:8000
劲爆体育,http://192.168.172.252:4022/udp/239.253.246.73:8000
都市剧场,http://192.168.172.252:4022/udp/239.253.246.74:8000
七彩剧场,http://192.168.172.252:4022/udp/239.253.246.75:8000
欢笑剧场,http://192.168.172.252:4022/udp/239.253.246.76:8000
爱上4K,http://192.168.172.252:4022/udp/239.253.246.102:8000
高清纪实,http://192.168.172.252:4022/udp/239.253.246.81:8000
金鹰纪实高清,http://192.168.172.252:4022/udp/239.253.246.103:8000
城市剧场,http://192.168.172.252:4022/udp/239.253.246.201:8000
音乐剧场,http://192.168.172.252:4022/udp/239.253.246.202:8000
军旅剧场,http://192.168.172.252:4022/udp/239.253.246.203:8000
足球,http://192.168.172.252:4022/udp/239.253.246.204:8000
古装剧场,http://192.168.172.252:4022/udp/239.253.246.205:8000
军事,http://192.168.172.252:4022/udp/239.253.246.207:8000
地理,http://192.168.172.252:4022/udp/239.253.246.208:8000
高网,http://192.168.172.252:4022/udp/239.253.246.209:8000
精选,http://192.168.172.252:4022/udp/239.253.246.210:8000
台球,http://192.168.172.252:4022/udp/239.253.246.211:8000
武侠,http://192.168.172.252:4022/udp/239.253.246.212:8000
美人,http://192.168.172.252:4022/udp/239.253.246.213:8000
鉴赏,http://192.168.172.252:4022/udp/239.253.246.214:8000
国学,http://192.168.172.252:4022/udp/239.253.246.215:8000
星影,http://192.168.172.252:4022/udp/239.253.246.216:8000
早教,http://192.168.172.252:4022/udp/239.253.246.217:8000
家庭影院,http://192.168.172.252:4022/udp/239.253.246.218:8000
好学生,http://192.168.172.252:4022/udp/239.253.246.219:8000
喜剧影院,http://192.168.172.252:4022/udp/239.253.246.220:8000
动作影院,http://192.168.172.252:4022/udp/239.253.246.221:8000
墨宝,http://192.168.172.252:4022/udp/239.253.246.222:8000
光影,http://192.168.172.252:4022/udp/239.253.246.223:8000
戏曲,http://192.168.172.252:4022/udp/239.253.246.224:8000
爱生活,http://192.168.172.252:4022/udp/239.253.246.225:8000
解密,http://192.168.172.252:4022/udp/239.253.246.226:8000
武术,http://192.168.172.252:4022/udp/239.253.246.227:8001
美妆,http://192.168.172.252:4022/udp/239.253.246.228:8001
动画,http://192.168.172.252:4022/udp/239.253.246.229:8001
财富天下,http://192.168.172.252:4022/udp/239.253.246.230:8000
收视指南,http://192.168.172.252:4022/udp/239.253.246.124:8000
热播剧场,http://192.168.172.252:4022/udp/239.253.246.125:8000
经典电影,http://192.168.172.252:4022/udp/239.253.246.126:8000
少儿动画,http://192.168.172.252:4022/udp/239.253.246.127:8000
谍战剧场,http://192.168.172.252:4022/udp/239.253.246.135:8000
相声小品,http://192.168.172.252:4022/udp/239.253.246.136:8000
魅力时尚,http://192.168.172.252:4022/udp/239.253.246.130:8000
IPTV野外,http://192.168.172.252:4022/udp/239.253.246.137:8000
IPTV法制,http://192.168.172.252:4022/udp/239.253.246.138:8000
IPTV3,http://192.168.172.252:4022/udp/239.253.246.129:8000
IPTV5,http://192.168.172.252:4022/udp/239.253.246.131:8000
IPTV6,http://192.168.172.252:4022/udp/239.253.246.128:8000
IPTV8,http://192.168.172.252:4022/udp/239.253.246.132:8000
靓装,http://192.168.172.252:4022/udp/239.253.246.133:8000
海看热播,http://192.168.172.252:4022/udp/239.253.246.94:8000
海看生活,http://192.168.172.252:4022/udp/239.253.246.96:8000
海看教育,http://192.168.172.252:4022/udp/239.253.246.95:8000
海看演艺,http://192.168.172.252:4022/udp/239.253.246.101:8000
海看健康,http://192.168.172.252:4022/udp/239.253.246.100:8000
海看少儿,http://192.168.172.252:4022/udp/239.253.246.99:8000
海看剧场,http://192.168.172.252:4022/udp/239.253.246.98:8000
海看大片,http://192.168.172.252:4022/udp/239.253.246.97:8000
CETV1高清,http://192.168.172.252:4022/udp/239.253.246.110:8000
IPTV5+高清,http://192.168.172.252:4022/udp/239.253.246.109:8000
CHC高清电影,http://192.168.172.252:4022/udp/239.253.246.154:8000
CHC家庭影院高清,http://192.168.172.252:4022/udp/239.253.246.152:8000
CHC动作电影高清,http://192.168.172.252:4022/udp/239.253.246.153:8000
联通线路2,#genre#
CCTV-1,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch12122514263996485740.rsc/89103_Uni.sdp
CCTV-2,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch15111015505054435886.rsc/88995_Uni.sdp
CCTV-3,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch12101814165876183439.rsc/89098_Uni.sdp
CCTV-4,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch17121814361050007455.rsc/89110_Uni.sdp
CCTV-5,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch12101814173650174727.rsc/89081_Uni.sdp
CCTV-5HD,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch17120418224162657206.rsc/89082_Uni.sdp
CCTV-5+,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch11061217321508656858.rsc/89133_Uni.sdp
CCTV-6,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch12101814181257469325.rsc/89108_Uni.sdp
CCTV-7,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch15111015535263088598.rsc/88994_Uni.sdp
CCTV-8,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch12101814184171314624.rsc/89034_Uni.sdp
CCTV-9,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch15050917541424212319.rsc/89073_Uni.sdp
CCTV-10,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch15111015554384702984.rsc/88998_Uni.sdp
CCTV-11,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch11122400354496191158.rsc/89074_Uni.sdp
CCTV-12,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch15111015571407754299.rsc/89000_Uni.sdp
CCTV-13,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch15050914361303395989.rsc/89053_Uni.sdp
CCTV-14,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch15111016003483433803.rsc/88993_Uni.sdp
CCTV-15,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch11122400365842237336.rsc/89013_Uni.sdp
CCTV-17,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch19073116233495000222.rsc/89017_Uni.sdp	
CGTN,rtsp://112.230.194.71:1554/iptv/import/Tvod/iptv/001/001/ch15050914501799552135.rsc/89047_Uni.sdp	
山东卫视,rtsp://112.230.194.71:1554/iptv/import/Tvod/iptv/001/001/ch15050916441119736372.rsc/89070_Uni.sdp
山东齐鲁,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch10120117223157422538.rsc/89114_Uni.sdp
山东文旅,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch10120117133527564831.rsc/89077_Uni.sdp
山东生活,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch10120117100570561699.rsc/89105_Uni.sdp
山东综艺,rtsp://112.230.194.72:1554/iptv/import/Tvod/iptv/001/001/ch11012815051671532768.rsc/89009_Uni.sdp
山东体育,rtsp://112.230.194.76:1554/iptv/import/Tvod/iptv/001/001/ch10111720502861127519.rsc/89127_Uni.sdp
山东新闻,rtsp://112.230.194.75:1554/iptv/import/Tvod/iptv/001/001/ch10120117023986249401.rsc/89036_Uni.sdp
山东农科,rtsp://112.230.194.71:1554/iptv/import/Tvod/iptv/001/001/ch11012815072111657053.rsc/89018_Uni.sdp
